symptoms,label
"runny nose, headache, facial pain, nasal congestion",Sinusitis
"nausea, fever",Gastroenteritis
"fatigue, chest discomfort, persistent cough with mucus",Bronchitis
"weight loss, chest pain, persistent cough",Tuberculosis
"loss of taste, fatigue, shortness of breath",COVID-19
"headache, rash, joint pain",Dengue
"loss of appetite, fatigue",Chickenpox
"wheezing, coughing, shortness of breath",Asthma
"sore throat, fever",Flu
"high fever, muscle pain, joint pain, headache",Dengue
"rash, fatigue, loss of appetite",Chickenpox
"cough, fever, chest pain",Pneumonia
"nausea, headache, light sensitivity, vomiting, dizziness",Migraine
"chills, fatigue, fever, cough",Flu
"high fever, headache, sensitivity to light",Meningitis
"vomiting, fever, nausea, diarrhea, abdominal pain",Gastroenteritis
"chills, fever, fatigue, sore throat",Flu
"cough, fatigue",Flu
"muscle pain, fever",Flu
"runny nose, nasal congestion, sneezing",Allergic Rhinitis
"abdominal pain, vomiting, fever",Gastroenteritis
"loss of appetite, rash",Chickenpox
"night sweats, chest pain",Tuberculosis
"vomiting, abdominal pain",Gastroenteritis
"nausea, light sensitivity, headache, vomiting",Migraine
"high fever, joint pain",Dengue
"persistent cough, weight loss, chest pain, night sweats",Tuberculosis
"dizziness, light sensitivity, vomiting",Migraine
"nausea, chills, headache, sweats, high fever",Malaria
"headache, runny nose, nasal congestion, facial pain",Sinusitis
"headache, facial pain, runny nose, nasal congestion",Sinusitis
"chest pain, fever, cough",Pneumonia
"vomiting, diarrhea, fever",Gastroenteritis
"loss of appetite, fatigue",Chickenpox
"chills, headache",Malaria
"light sensitivity, headache",Migraine
"fever, rash, fatigue, loss of appetite",Chickenpox
"itchy eyes, nasal congestion, sneezing",Allergic Rhinitis
"headache, light sensitivity",Migraine
"nausea, chills, sweats, high fever, headache",Malaria
"sore throat, fatigue, chills, muscle pain",Flu
"chest tightness, coughing, wheezing",Asthma
"sore throat, mild headache, sneezing",Common Cold
"chest tightness, shortness of breath, wheezing, coughing",Asthma
"dry cough, loss of taste, high fever, shortness of breath, fatigue",COVID-19
"fever, fatigue",Flu
"sneezing, mild headache, sore throat",Common Cold
"shortness of breath, fever, cough",Pneumonia
"dry cough, high fever",COVID-19
"persistent cough with mucus, fatigue",Bronchitis
"nasal congestion, facial pain, runny nose, headache",Sinusitis
"sweats, headache, chills, high fever, nausea",Malaria
"itchy eyes, sneezing, runny nose, nasal congestion",Allergic Rhinitis
"headache, high fever, joint pain, muscle pain",Dengue
"sneezing, nasal congestion",Allergic Rhinitis
"night sweats, weight loss, chest pain, persistent cough",Tuberculosis
"itchy eyes, runny nose, nasal congestion",Allergic Rhinitis
"wheezing, coughing, shortness of breath",Asthma
"high fever, headache",Meningitis
"headache, joint pain",Dengue
"chest pain, weight loss, persistent cough, night sweats",Tuberculosis
"dry cough, high fever, fatigue, shortness of breath",COVID-19
"sneezing, runny nose, nasal congestion, itchy eyes",Allergic Rhinitis
"runny nose, sneezing, sore throat",Common Cold
"itchy eyes, sneezing",Allergic Rhinitis
"headache, sensitivity to light, high fever, stiff neck",Meningitis
"shortness of breath, high fever",COVID-19
"shortness of breath, high fever, dry cough",COVID-19
"chest pain, cough, shortness of breath",Pneumonia
"sore throat, fatigue",Flu
"headache, sensitivity to light, high fever, stiff neck",Meningitis
"fever, chest pain, shortness of breath",Pneumonia
"shortness of breath, fatigue, high fever",COVID-19
"chest discomfort, fatigue",Bronchitis
"coughing, chest tightness, shortness of breath, wheezing",Asthma
"fatigue, dry cough",COVID-19
"headache, sensitivity to light",Meningitis
"chest pain, weight loss",Tuberculosis
"sneezing, itchy eyes",Allergic Rhinitis
"vomiting, abdominal pain, nausea",Gastroenteritis
"joint pain, rash, high fever, muscle pain, headache",Dengue
"headache, rash, joint pain",Dengue
"itchy eyes, sneezing, nasal congestion, runny nose",Allergic Rhinitis
"persistent cough, night sweats",Tuberculosis
"persistent cough, night sweats, chest pain",Tuberculosis
"chest pain, fever",Pneumonia
"abdominal pain, vomiting, nausea, diarrhea, fever",Gastroenteritis
"high fever, sweats, headache, nausea, chills",Malaria
"dizziness, nausea",Migraine
"sneezing, runny nose",Common Cold
"sensitivity to light, stiff neck",Meningitis
"sore throat, muscle pain, fever",Flu
"chest pain, weight loss, night sweats",Tuberculosis
"cough, fever, chest pain, shortness of breath",Pneumonia
"nausea, vomiting, diarrhea",Gastroenteritis
"rash, loss of appetite",Chickenpox
"chest pain, night sweats",Tuberculosis
"fatigue, chest discomfort",Bronchitis
"headache, light sensitivity, nausea",Migraine
"persistent cough with mucus, fatigue, chest discomfort",Bronchitis
"chills, fatigue",Flu
"high fever, stiff neck",Meningitis
"fatigue, chest discomfort, persistent cough with mucus",Bronchitis
"fever, shortness of breath, cough",Pneumonia
"sweats, headache, nausea, chills",Malaria
"persistent cough, night sweats, weight loss, chest pain",Tuberculosis
"sore throat, sneezing, mild headache, runny nose",Common Cold
"cough, fever",Pneumonia
"sensitivity to light, high fever, headache, stiff neck",Meningitis
"runny nose, sneezing",Allergic Rhinitis
"nasal congestion, runny nose",Allergic Rhinitis
"diarrhea, abdominal pain, nausea, vomiting, fever",Gastroenteritis
"high fever, muscle pain, joint pain, headache, rash",Dengue
"night sweats, persistent cough, weight loss, chest pain",Tuberculosis
"fever, abdominal pain, vomiting, nausea, diarrhea",Gastroenteritis
"fever, loss of appetite, rash, fatigue",Chickenpox
"light sensitivity, dizziness, vomiting, nausea, headache",Migraine
"stiff neck, high fever",Meningitis
"abdominal pain, diarrhea, fever, nausea",Gastroenteritis
"runny nose, mild headache, sore throat, sneezing",Common Cold
"sneezing, mild headache, sore throat, runny nose",Common Cold
"sweats, headache, nausea",Malaria
"diarrhea, abdominal pain, fever, vomiting, nausea",Gastroenteritis
"itchy eyes, sneezing, runny nose, nasal congestion",Allergic Rhinitis
"nausea, vomiting, dizziness, light sensitivity, headache",Migraine
"chest discomfort, fatigue, persistent cough with mucus",Bronchitis
"chills, cough",Flu
"nausea, chills, high fever, headache, sweats",Malaria
"chest discomfort, persistent cough with mucus",Bronchitis
"fever, chest pain, shortness of breath",Pneumonia
"joint pain, high fever, muscle pain, headache",Dengue
"nausea, chills, headache, sweats, high fever",Malaria
"high fever, loss of taste, dry cough, fatigue",COVID-19
"vomiting, diarrhea, fever, abdominal pain, nausea",Gastroenteritis
"night sweats, weight loss",Tuberculosis
"high fever, stiff neck",Meningitis
"chest pain, night sweats, weight loss, persistent cough",Tuberculosis
"headache, sensitivity to light",Meningitis
"sensitivity to light, headache, high fever, stiff neck",Meningitis
"stiff neck, sensitivity to light, headache, high fever",Meningitis
"sweats, headache, nausea",Malaria
"fever, fatigue, loss of appetite, rash",Chickenpox
"high fever, fatigue, shortness of breath, loss of taste, dry cough",COVID-19
"persistent cough with mucus, fatigue",Bronchitis
"loss of appetite, fever, fatigue, rash",Chickenpox
"sweats, chills",Malaria
"shortness of breath, cough, chest pain",Pneumonia
"fatigue, sore throat",Flu
"joint pain, headache, high fever, rash, muscle pain",Dengue
"sore throat, sneezing",Common Cold
"shortness of breath, coughing",Asthma
"shortness of breath, dry cough",COVID-19
"diarrhea, fever",Gastroenteritis
"fatigue, rash",Chickenpox
"headache, nausea",Malaria
"chest pain, weight loss",Tuberculosis
"nasal congestion, runny nose",Allergic Rhinitis
"sore throat, mild headache, runny nose",Common Cold
"muscle pain, chills",Flu
"shortness of breath, chest pain",Pneumonia
"facial pain, runny nose, headache",Sinusitis
"headache, muscle pain",Dengue
"chest pain, cough, fever, shortness of breath",Pneumonia
"chest pain, night sweats, weight loss",Tuberculosis
"sore throat, sneezing",Common Cold
"fatigue, sore throat",Flu
"nasal congestion, facial pain, headache",Sinusitis
"sore throat, fever, cough, fatigue",Flu
"chills, sore throat, cough",Flu
"sneezing, sore throat, mild headache",Common Cold
"itchy eyes, nasal congestion, sneezing, runny nose",Allergic Rhinitis
"coughing, shortness of breath",Asthma
"stiff neck, sensitivity to light, headache, high fever",Meningitis
"runny nose, sore throat, sneezing",Common Cold
"runny nose, mild headache, sore throat, sneezing",Common Cold
"sweats, high fever, headache, nausea",Malaria
"fatigue, persistent cough with mucus",Bronchitis
"fever, fatigue, rash, loss of appetite",Chickenpox
"sore throat, chills",Flu
"facial pain, headache, nasal congestion",Sinusitis
"sore throat, mild headache",Common Cold
"cough, shortness of breath, fever, chest pain",Pneumonia
"fever, chest pain, shortness of breath, cough",Pneumonia
"sneezing, runny nose",Common Cold
"loss of appetite, fever, rash, fatigue",Chickenpox
"mild headache, sneezing, runny nose, sore throat",Common Cold
"sneezing, itchy eyes, runny nose",Allergic Rhinitis
"fatigue, rash",Chickenpox
"vomiting, fever, abdominal pain",Gastroenteritis
"dizziness, light sensitivity, vomiting",Migraine
"sweats, nausea, chills",Malaria
"sneezing, itchy eyes, nasal congestion",Allergic Rhinitis
"fever, fatigue, rash, loss of appetite",Chickenpox
"fever, chills, fatigue, cough",Flu
"sweats, headache, high fever, nausea",Malaria
"cough, shortness of breath, chest pain",Pneumonia
"chest tightness, wheezing, coughing, shortness of breath",Asthma
"shortness of breath, chest pain, cough",Pneumonia
"high fever, joint pain",Dengue
"high fever, shortness of breath, fatigue",COVID-19
"persistent cough, chest pain",Tuberculosis
"shortness of breath, loss of taste, high fever, dry cough, fatigue",COVID-19
"persistent cough with mucus, fatigue",Bronchitis
"dizziness, headache, vomiting, nausea",Migraine
"runny nose, facial pain, headache",Sinusitis
"fever, diarrhea, vomiting, abdominal pain",Gastroenteritis
"muscle pain, chills, fever, fatigue, cough",Flu
"vomiting, nausea, dizziness, light sensitivity",Migraine
"fever, cough, shortness of breath",Pneumonia
"muscle pain, joint pain",Dengue
"sore throat, sneezing",Common Cold
"persistent cough with mucus, fatigue, chest discomfort",Bronchitis
"high fever, headache, joint pain, rash, muscle pain",Dengue
"stiff neck, headache",Meningitis
"persistent cough with mucus, fatigue, chest discomfort",Bronchitis
"wheezing, coughing, shortness of breath",Asthma
"headache, sensitivity to light, high fever, stiff neck",Meningitis
"fever, abdominal pain, diarrhea, vomiting",Gastroenteritis
"headache, dizziness",Migraine
"shortness of breath, fever, chest pain",Pneumonia
"dry cough, high fever, loss of taste, shortness of breath",COVID-19
"headache, sweats, nausea, high fever",Malaria
"fatigue, chest discomfort",Bronchitis
"sneezing, mild headache, runny nose",Common Cold
"itchy eyes, nasal congestion, sneezing",Allergic Rhinitis
"nasal congestion, headache, runny nose, facial pain",Sinusitis
"stiff neck, sensitivity to light, headache",Meningitis
"headache, light sensitivity",Migraine
"night sweats, persistent cough",Tuberculosis
"loss of taste, shortness of breath, fatigue",COVID-19
"fever, nausea",Gastroenteritis
"shortness of breath, high fever",COVID-19
"nausea, high fever, chills, headache",Malaria
"sore throat, fever, muscle pain, chills",Flu
"rash, high fever",Dengue
"chills, nausea, high fever, headache, sweats",Malaria
"light sensitivity, nausea, dizziness",Migraine
"sore throat, mild headache, runny nose",Common Cold
"muscle pain, fatigue",Flu
"sneezing, itchy eyes",Allergic Rhinitis
"fatigue, loss of taste",COVID-19
"headache, facial pain, runny nose",Sinusitis
"weight loss, persistent cough",Tuberculosis
"vomiting, nausea, fever, abdominal pain",Gastroenteritis
"fatigue, shortness of breath, dry cough, high fever",COVID-19
"headache, high fever",Meningitis
"light sensitivity, vomiting, nausea, dizziness, headache",Migraine
"night sweats, chest pain, persistent cough",Tuberculosis
"shortness of breath, chest tightness, wheezing, coughing",Asthma
"fatigue, high fever, loss of taste, shortness of breath, dry cough",COVID-19
"fever, sore throat",Flu
"chest pain, cough",Pneumonia
"shortness of breath, cough, fever, chest pain",Pneumonia
"rash, headache, joint pain, muscle pain, high fever",Dengue
"mild headache, runny nose, sore throat",Common Cold
"sore throat, sneezing",Common Cold
"sore throat, runny nose, sneezing, mild headache",Common Cold
"high fever, dry cough, shortness of breath",COVID-19
"coughing, shortness of breath, wheezing, chest tightness",Asthma
"high fever, sensitivity to light, stiff neck, headache",Meningitis
"facial pain, headache, runny nose, nasal congestion",Sinusitis
"fatigue, chest discomfort, persistent cough with mucus",Bronchitis
"high fever, sensitivity to light",Meningitis
"chills, headache, nausea",Malaria
"chest tightness, shortness of breath",Asthma
"stiff neck, headache, sensitivity to light, high fever",Meningitis
"weight loss, chest pain",Tuberculosis
"cough, sore throat",Flu
"headache, dizziness, light sensitivity, vomiting",Migraine
"high fever, headache, sweats, chills, nausea",Malaria
"chest discomfort, persistent cough with mucus",Bronchitis
"chills, fever, cough, fatigue, sore throat",Flu
"fever, rash, loss of appetite, fatigue",Chickenpox
"weight loss, night sweats, chest pain, persistent cough",Tuberculosis
"muscle pain, cough",Flu
"fatigue, fever",Flu
"chest pain, persistent cough",Tuberculosis
"sore throat, mild headache, sneezing, runny nose",Common Cold
"vomiting, dizziness, headache, light sensitivity, nausea",Migraine
"chills, sweats, headache",Malaria
"diarrhea, vomiting",Gastroenteritis
"nausea, sweats, chills, high fever",Malaria
"night sweats, weight loss, persistent cough",Tuberculosis
"chest discomfort, fatigue",Bronchitis
"muscle pain, chills, sore throat, cough",Flu
"cough, fever",Pneumonia
"cough, fever",Pneumonia
"fever, loss of appetite",Chickenpox
"headache, muscle pain, rash, high fever, joint pain",Dengue
"cough, fever, shortness of breath",Pneumonia
"fatigue, chest discomfort, persistent cough with mucus",Bronchitis
"night sweats, weight loss, persistent cough, chest pain",Tuberculosis
"fever, abdominal pain, diarrhea, vomiting",Gastroenteritis
"headache, vomiting, light sensitivity, nausea",Migraine
"nausea, abdominal pain, vomiting, fever, diarrhea",Gastroenteritis
"weight loss, persistent cough",Tuberculosis
"headache, nasal congestion, runny nose, facial pain",Sinusitis
"sweats, chills, nausea, high fever",Malaria
"shortness of breath, loss of taste, high fever, fatigue",COVID-19
"sweats, high fever",Malaria
"nasal congestion, sneezing, itchy eyes, runny nose",Allergic Rhinitis
"coughing, wheezing",Asthma
"chills, fatigue, sore throat, cough",Flu
"mild headache, runny nose, sore throat",Common Cold
"nausea, light sensitivity, dizziness, headache",Migraine
"headache, facial pain",Sinusitis
"sore throat, mild headache, sneezing, runny nose",Common Cold
"nasal congestion, sneezing, itchy eyes",Allergic Rhinitis
"sneezing, itchy eyes",Allergic Rhinitis
"itchy eyes, runny nose, sneezing, nasal congestion",Allergic Rhinitis
"shortness of breath, loss of taste",COVID-19
"muscle pain, joint pain, headache, high fever, rash",Dengue
"light sensitivity, nausea, dizziness",Migraine
"sweats, chills, headache, high fever",Malaria
"muscle pain, fatigue",Flu
"runny nose, nasal congestion, facial pain",Sinusitis
"facial pain, runny nose, nasal congestion",Sinusitis
"cough, fever, shortness of breath",Pneumonia
"fatigue, chills, cough, sore throat",Flu
"fatigue, high fever, dry cough, shortness of breath, loss of taste",COVID-19
"chest pain, fever, shortness of breath, cough",Pneumonia
"stiff neck, high fever, sensitivity to light",Meningitis
"fatigue, shortness of breath",COVID-19
"weight loss, chest pain, persistent cough",Tuberculosis
"sweats, headache, high fever, chills",Malaria
"itchy eyes, nasal congestion, sneezing",Allergic Rhinitis
"high fever, headache, joint pain, muscle pain",Dengue
"dry cough, shortness of breath, high fever, loss of taste, fatigue",COVID-19
"light sensitivity, dizziness, nausea, vomiting",Migraine
"loss of appetite, fever, fatigue, rash",Chickenpox
"chills, sweats, high fever, nausea",Malaria
"shortness of breath, wheezing, coughing, chest tightness",Asthma
"high fever, chills",Malaria
"chest tightness, coughing, shortness of breath, wheezing",Asthma
"persistent cough, chest pain",Tuberculosis
"chest pain, cough, shortness of breath, fever",Pneumonia
"persistent cough, chest pain",Tuberculosis
"chest tightness, wheezing",Asthma
"sneezing, runny nose, mild headache, sore throat",Common Cold
"high fever, headache, sensitivity to light, stiff neck",Meningitis
"runny nose, sneezing, mild headache, sore throat",Common Cold
"facial pain, headache",Sinusitis
"nasal congestion, sneezing",Allergic Rhinitis
"sore throat, sneezing",Common Cold
"chest pain, night sweats, weight loss, persistent cough",Tuberculosis
"vomiting, light sensitivity, dizziness, nausea",Migraine
"mild headache, sneezing",Common Cold
"shortness of breath, fatigue, loss of taste, high fever",COVID-19
"high fever, muscle pain",Dengue
"dry cough, loss of taste, shortness of breath, high fever, fatigue",COVID-19
"dry cough, shortness of breath",COVID-19
"dizziness, nausea",Migraine
"headache, joint pain, high fever",Dengue
"shortness of breath, chest pain, cough",Pneumonia
"sneezing, nasal congestion, runny nose, itchy eyes",Allergic Rhinitis
"headache, nausea, chills, high fever",Malaria
"fatigue, rash",Chickenpox
"mild headache, sneezing, runny nose, sore throat",Common Cold
"stiff neck, sensitivity to light, high fever",Meningitis
"abdominal pain, diarrhea, nausea",Gastroenteritis
"muscle pain, sore throat",Flu
"facial pain, headache, nasal congestion, runny nose",Sinusitis
"fatigue, persistent cough with mucus, chest discomfort",Bronchitis
"headache, nasal congestion, runny nose, facial pain",Sinusitis
"persistent cough with mucus, fatigue, chest discomfort",Bronchitis
"dizziness, nausea",Migraine
"diarrhea, nausea",Gastroenteritis
"chest tightness, shortness of breath",Asthma
"runny nose, nasal congestion, facial pain",Sinusitis
"wheezing, shortness of breath",Asthma
"sneezing, runny nose, sore throat, mild headache",Common Cold
"facial pain, runny nose",Sinusitis
"fever, nausea",Gastroenteritis
"rash, fatigue",Chickenpox
"cough, shortness of breath",Pneumonia
"diarrhea, fever, vomiting, abdominal pain",Gastroenteritis
"cough, chills, sore throat, fatigue",Flu
"headache, dizziness, light sensitivity, nausea, vomiting",Migraine
"cough, fatigue, sore throat",Flu
"runny nose, sneezing, mild headache, sore throat",Common Cold
"rash, high fever",Dengue
"sneezing, itchy eyes",Allergic Rhinitis
"nasal congestion, itchy eyes, sneezing, runny nose",Allergic Rhinitis
"cough, shortness of breath, chest pain, fever",Pneumonia
"fever, fatigue",Flu
"vomiting, abdominal pain, fever",Gastroenteritis
"vomiting, fever, abdominal pain, nausea, diarrhea",Gastroenteritis
"sneezing, nasal congestion, runny nose",Allergic Rhinitis
"mild headache, sore throat",Common Cold
"high fever, sweats, chills, nausea, headache",Malaria
"fatigue, chest discomfort, persistent cough with mucus",Bronchitis
"chills, cough, sore throat, muscle pain",Flu
"mild headache, sore throat, sneezing, runny nose",Common Cold
"sneezing, sore throat, mild headache, runny nose",Common Cold
"fatigue, loss of appetite, rash",Chickenpox
"high fever, shortness of breath, fatigue, loss of taste",COVID-19
"nausea, headache, high fever",Malaria
"muscle pain, chills, fatigue, fever, sore throat",Flu
"shortness of breath, coughing",Asthma
"facial pain, runny nose, nasal congestion",Sinusitis
"runny nose, sore throat, mild headache",Common Cold
"headache, light sensitivity",Migraine
"dry cough, loss of taste, high fever",COVID-19
"fatigue, chills, fever, sore throat, cough",Flu
"loss of appetite, rash, fatigue, fever",Chickenpox
"chills, nausea, high fever, sweats",Malaria
"headache, high fever, chills, sweats, nausea",Malaria
"rash, fatigue, loss of appetite",Chickenpox
"muscle pain, headache, high fever, rash",Dengue
"sneezing, nasal congestion, runny nose, itchy eyes",Allergic Rhinitis
"chest pain, cough",Pneumonia
"dry cough, high fever",COVID-19
"fatigue, sore throat, chills, fever, muscle pain",Flu
"cough, shortness of breath, fever",Pneumonia
"headache, high fever",Meningitis
"cough, fatigue",Flu
"cough, fatigue, chills",Flu
"chest tightness, wheezing, shortness of breath, coughing",Asthma
"vomiting, diarrhea, abdominal pain, nausea",Gastroenteritis
"fatigue, chest discomfort",Bronchitis
"chills, nausea",Malaria
"nasal congestion, itchy eyes, runny nose, sneezing",Allergic Rhinitis
"sneezing, runny nose, sore throat, mild headache",Common Cold
"persistent cough with mucus, fatigue, chest discomfort",Bronchitis
"persistent cough with mucus, fatigue",Bronchitis
"sneezing, itchy eyes",Allergic Rhinitis
"sneezing, runny nose, nasal congestion, itchy eyes",Allergic Rhinitis
"chest pain, fever, cough, shortness of breath",Pneumonia
"fatigue, persistent cough with mucus, chest discomfort",Bronchitis
"persistent cough, night sweats",Tuberculosis
"dizziness, nausea, headache, vomiting, light sensitivity",Migraine
"sore throat, runny nose, mild headache",Common Cold
"loss of taste, dry cough, shortness of breath, fatigue, high fever",COVID-19
"itchy eyes, sneezing, nasal congestion, runny nose",Allergic Rhinitis
"shortness of breath, fever, chest pain",Pneumonia
"nausea, vomiting, headache, light sensitivity, dizziness",Migraine
"nausea, vomiting, light sensitivity, dizziness, headache",Migraine
"shortness of breath, high fever",COVID-19
"shortness of breath, wheezing, chest tightness, coughing",Asthma
"headache, dizziness, vomiting, nausea",Migraine
"cough, chills, sore throat",Flu
"weight loss, persistent cough, night sweats, chest pain",Tuberculosis
"nasal congestion, runny nose, itchy eyes",Allergic Rhinitis
"dizziness, headache, light sensitivity, vomiting",Migraine
"chills, muscle pain",Flu
"dry cough, loss of taste, shortness of breath, fatigue",COVID-19
"headache, facial pain",Sinusitis
"diarrhea, nausea, vomiting, fever, abdominal pain",Gastroenteritis
"headache, muscle pain, high fever, joint pain, rash",Dengue
"chest pain, persistent cough",Tuberculosis
"nasal congestion, itchy eyes",Allergic Rhinitis
"runny nose, facial pain, nasal congestion",Sinusitis
"chest pain, fever, shortness of breath",Pneumonia
"headache, muscle pain, rash, joint pain",Dengue
"persistent cough with mucus, chest discomfort",Bronchitis
"nausea, high fever",Malaria
"muscle pain, rash, high fever",Dengue
"mild headache, sore throat, sneezing",Common Cold
"dry cough, loss of taste, fatigue, shortness of breath",COVID-19
"fatigue, dry cough, high fever, shortness of breath",COVID-19
"chest discomfort, persistent cough with mucus, fatigue",Bronchitis
"fever, muscle pain, chills, sore throat, fatigue",Flu
"runny nose, mild headache, sneezing",Common Cold
"fatigue, loss of appetite, fever, rash",Chickenpox
"sneezing, nasal congestion, itchy eyes",Allergic Rhinitis
"high fever, headache, muscle pain, rash",Dengue
"chest discomfort, fatigue, persistent cough with mucus",Bronchitis
"cough, muscle pain, fever, chills, sore throat",Flu
"nausea, fever, abdominal pain",Gastroenteritis
"rash, loss of appetite, fever",Chickenpox
"abdominal pain, diarrhea, fever",Gastroenteritis
"dry cough, fatigue, loss of taste, high fever, shortness of breath",COVID-19
"sneezing, itchy eyes",Allergic Rhinitis
"sensitivity to light, high fever, headache, stiff neck",Meningitis
"mild headache, sore throat, sneezing",Common Cold
"fever, vomiting, diarrhea",Gastroenteritis
"cough, fever, shortness of breath",Pneumonia
"dizziness, vomiting, nausea, light sensitivity",Migraine
"nausea, vomiting, headache",Migraine
"rash, fatigue",Chickenpox
"weight loss, persistent cough",Tuberculosis
"sore throat, sneezing, runny nose, mild headache",Common Cold
"light sensitivity, nausea",Migraine
"itchy eyes, runny nose, nasal congestion",Allergic Rhinitis
"wheezing, coughing",Asthma
"muscle pain, fatigue, sore throat",Flu
"nausea, vomiting, fever, abdominal pain, diarrhea",Gastroenteritis
"fever, shortness of breath, chest pain",Pneumonia
"headache, chills, high fever, sweats",Malaria
"sore throat, sneezing",Common Cold
"cough, fever, chills, sore throat",Flu
"night sweats, weight loss, chest pain, persistent cough",Tuberculosis
"night sweats, weight loss",Tuberculosis
"headache, vomiting, dizziness, nausea, light sensitivity",Migraine
"chest pain, weight loss, persistent cough",Tuberculosis
"headache, vomiting",Migraine
"chills, sweats, high fever",Malaria
"muscle pain, high fever",Dengue
"chills, nausea, high fever",Malaria
"cough, shortness of breath, fever",Pneumonia
"cough, fever",Pneumonia
"high fever, sweats",Malaria
"fatigue, chills, sore throat, fever, cough",Flu
"shortness of breath, loss of taste",COVID-19
"nasal congestion, runny nose, sneezing",Allergic Rhinitis
"runny nose, nasal congestion, headache",Sinusitis
"abdominal pain, nausea, vomiting, fever",Gastroenteritis
"fever, chest pain",Pneumonia
"vomiting, light sensitivity, headache, nausea, dizziness",Migraine
"diarrhea, abdominal pain, nausea, vomiting",Gastroenteritis
"vomiting, dizziness",Migraine
"loss of taste, dry cough",COVID-19
"persistent cough, chest pain",Tuberculosis
"chills, sore throat, cough, muscle pain",Flu
"shortness of breath, fatigue",COVID-19
"muscle pain, rash, high fever, headache, joint pain",Dengue
"chest pain, fever",Pneumonia
"chest pain, persistent cough",Tuberculosis
"nausea, vomiting, diarrhea, abdominal pain",Gastroenteritis
"shortness of breath, high fever, loss of taste",COVID-19
"coughing, chest tightness, wheezing",Asthma
"chest pain, persistent cough",Tuberculosis
"chills, nausea, headache",Malaria
"sweats, headache",Malaria
"rash, fever",Chickenpox
"nausea, sweats, headache, high fever",Malaria
"headache, high fever",Malaria
"coughing, chest tightness, shortness of breath",Asthma
"sore throat, mild headache",Common Cold
"nasal congestion, itchy eyes",Allergic Rhinitis
"coughing, shortness of breath, chest tightness, wheezing",Asthma
"sneezing, nasal congestion",Allergic Rhinitis
"fever, fatigue, loss of appetite",Chickenpox
"nasal congestion, runny nose, itchy eyes",Allergic Rhinitis
"coughing, wheezing",Asthma
"shortness of breath, wheezing",Asthma
"dizziness, vomiting, nausea, headache, light sensitivity",Migraine
"facial pain, runny nose",Sinusitis
"sweats, high fever, headache, chills, nausea",Malaria
"nausea, headache",Migraine
"high fever, shortness of breath, loss of taste, dry cough, fatigue",COVID-19
"night sweats, chest pain, persistent cough",Tuberculosis
"weight loss, chest pain",Tuberculosis
"itchy eyes, nasal congestion",Allergic Rhinitis
"chills, fatigue, fever, sore throat, cough",Flu
"loss of appetite, fever, fatigue",Chickenpox
"loss of appetite, rash, fatigue, fever",Chickenpox
"rash, fatigue",Chickenpox
"high fever, chills, sweats",Malaria
"nausea, headache",Malaria
"coughing, shortness of breath, wheezing",Asthma
"stiff neck, sensitivity to light, high fever",Meningitis
"runny nose, facial pain",Sinusitis
"headache, vomiting, light sensitivity",Migraine
"headache, runny nose, facial pain",Sinusitis
"high fever, headache",Meningitis
"sweats, high fever, nausea, chills",Malaria
"headache, high fever",Malaria
"sneezing, sore throat",Common Cold
"shortness of breath, coughing, wheezing, chest tightness",Asthma
"chest pain, persistent cough, night sweats",Tuberculosis
"coughing, shortness of breath",Asthma
"headache, nausea, light sensitivity",Migraine
"chills, nausea, sweats, high fever",Malaria
"loss of taste, fatigue",COVID-19
"sneezing, nasal congestion, runny nose, itchy eyes",Allergic Rhinitis
"facial pain, nasal congestion, runny nose, headache",Sinusitis
"vomiting, nausea, fever",Gastroenteritis
"chills, sweats",Malaria
"headache, facial pain, nasal congestion",Sinusitis
"sensitivity to light, headache, high fever",Meningitis
"chest pain, fever",Pneumonia
"shortness of breath, coughing, wheezing",Asthma
"weight loss, persistent cough",Tuberculosis
"coughing, shortness of breath, wheezing, chest tightness",Asthma
"fatigue, persistent cough with mucus",Bronchitis
"high fever, sensitivity to light, headache",Meningitis
"headache, vomiting",Migraine
"high fever, joint pain, rash, muscle pain",Dengue
"nausea, fever, diarrhea, abdominal pain",Gastroenteritis
"light sensitivity, nausea",Migraine
"sweats, high fever, headache, chills, nausea",Malaria
"sweats, high fever, headache, nausea, chills",Malaria
"nasal congestion, itchy eyes, runny nose, sneezing",Allergic Rhinitis
"loss of appetite, rash, fever, fatigue",Chickenpox
"headache, high fever, sweats, chills",Malaria
"wheezing, chest tightness, shortness of breath, coughing",Asthma
"sweats, high fever, headache, nausea",Malaria
"wheezing, shortness of breath, chest tightness, coughing",Asthma
"fever, vomiting",Gastroenteritis
"high fever, rash, headache, joint pain",Dengue
"fever, muscle pain, cough, sore throat, chills",Flu
"headache, facial pain",Sinusitis
"fatigue, loss of taste, dry cough",COVID-19
"dizziness, vomiting, headache",Migraine
"chest tightness, coughing, wheezing, shortness of breath",Asthma
"fever, diarrhea, abdominal pain",Gastroenteritis
"sensitivity to light, headache",Meningitis
"nasal congestion, runny nose, facial pain",Sinusitis
"high fever, rash",Dengue
"sensitivity to light, stiff neck",Meningitis
"vomiting, nausea, abdominal pain",Gastroenteritis
"persistent cough with mucus, fatigue",Bronchitis
"high fever, sensitivity to light",Meningitis
"chills, muscle pain, fatigue, sore throat, cough",Flu
"sweats, nausea, headache, chills, high fever",Malaria
